,level_0,index,Campaign Id,Campaign Name
20,20,936,175880186537924,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 1
22,22,1000,52807527205965,CC-0025-0013 US SP AUTO Chicnchill 20221003 HUY 1
35,35,1274,141075328865846,CC-0005-0003 US SP AUTO Chicnchill 20221003 TAM 1
37,37,1298,181663054108422,CC-0013-0003 US SP AUTO Chicnchill 20221003 HUY 1
42,42,1388,12444732657109,CC-0005-0006 US SP AUTO Chicnchill 20221003 TAM 1
48,48,1475,165711125623918,CC-0013-0002 US SP AUTO Chicnchill 20221003 HUY 1
49,49,1484,95889694722336,CC-0005-0012 US SP AUTO Chicnchill 20221003 TAM 1
54,54,1561,108305475019437,CC-0005-0014 US SP AUTO Chicnchill 20221003 TAM 1
56,56,1586,131443417239543,CC-0025-0004 US SP AUTO Chicnchill 20221003 HUY 1
59,59,1619,7884132410993,CC-0026-0001 US SP ASIN Chicnchill 20221027 HUY 4
61,61,1636,168534265485819,CC-0025-0003 US SP AUTO Chicnchill 20221003 HUY 1
77,77,2139,168244759823080,CC-0025-0009 US SP AUTO Chicnchill 20221003 HUY 1
87,87,2263,235224358103965,CC-0013-0005 US SP AUTO Chicnchill 20221003 HUY 1
90,90,2370,70806617773589,CC-0020-0002 US SP AUTO Chicnchill 20220904 TAM 1
92,92,2394,110069620754385,CC-0025-0011 US SP AUTO Chicnchill 20221003 HUY 1
108,108,5402,214837483853753,CC-0005-0002 US SP AUTO Chicnchill 20221003 TAM 1
112,112,5458,5686736336349,CC-0005-0007 US SP AUTO Chicnchill 20221003 TAM 1
119,119,5629,104448670584345,CC-0005-0005 US SP AUTO Chicnchill 20221003 TAM 1
128,128,6104,82799608985946,CC-0005-0008 US SP AUTO Chicnchill 20221003 TAM 1
145,145,6483,163405800293503,CC-0016-0001 US SP AUTO Chicnchill 20221003 HUY 1
147,147,6500,191246063728477,CC-0015-0006 US SP AUTO Chicnchill 20221003 HUY 1
168,168,6979,57433704522342,CC-0015-0002 US SP AUTO Chicnchill 20221003 HUY 1
176,176,7311,78331157715262,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 3
180,180,7391,56871536480800,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 6
182,182,7434,45948995714844,CC-0016-0002 US SP AUTO Chicnchill 20221003 HUY 1
194,194,7573,97167711902701,CC-0025-0008 US SP AUTO Chicnchill 20221003 HUY 1
195,195,7582,137439024164054,CC-0026-0001 US SP ASIN Chicnchill 20221027 HUY 2
209,209,7827,105444651207330,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 4
211,211,7857,175382906695279,CC-0015-0004 US SP AUTO Chicnchill 20221003 HUY 1
223,223,8096,259820093025147,CC-0013-0006 US SP AUTO Chicnchill 20221003 HUY 1
225,225,8116,39934745495705,CC-0004-0011 US SP KCST Chicnchill 20221006 HUY 1
230,230,8209,181031724727009,CC-0029-0001 US SP ASIN Chicnchill 20221028 HUY 5
